DATE,IPG2211A2N,,,ERROR,,,,,,,,0
05-01-2000,84.4552,89.0974695,88.84721763,21.55066607,,,,,,,,
06-01-2000,91.0406,88.1690156,88.84721763,8.245996984,,,,,,,,
07-01-2000,95.9957,88.74333248,88.84721763,52.59683468,,,,,,,,
08-01-2000,99.3704,90.19380598,88.84721763,84.20987777,,,,,,,,
09-01-2000,90.9178,92.02912479,88.84721763,1.235042779,,,,,,,,
10-01-2000,83.1408,91.80685983,88.84721763,75.10059295,,,,,,,,
11-01-2000,88.041,90.07364786,88.84721763,4.131657334,,,,,,,,
12-01-2000,102.4558,89.66711829,88.84721763,163.5503799,,,,,,,,
01-01-2001,109.1081,92.22485463,88.84721763,285.0439742,,,,,,,,
02-01-2001,97.1717,95.60150371,88.84721763,2.465516402,,,,,,,,
03-01-2001,92.8283,95.91554296,88.84721763,9.531069122,,,,,,,,
04-01-2001,82.915,95.29809437,88.84721763,153.3410262,,,,,,,,
05-01-2001,82.5465,92.8214755,88.84721763,105.5751215,,,,,,,,
06-01-2001,90.3955,90.7664804,88.84721763,0.137626456,,,,,,,,
07-01-2001,96.074,90.69228432,88.84721763,28.96286368,,,,,,,,
08-01-2001,99.5534,91.76862745,88.84721763,60.60268358,,,,,,,,
09-01-2001,88.281,93.32558196,88.84721763,25.44780719,,,,,,,,
10-01-2001,82.686,92.31666557,88.84721763,92.74971934,,,,,,,,
11-01-2001,82.9319,90.39053246,88.84721763,55.63119813,,,,,,,,
12-01-2001,93.0381,88.89880597,88.84721763,17.1337551,,,,,,,,
01-01-2002,102.9955,89.72666477,88.84721763,176.0619883,,,,,,,,
02-01-2002,95.2075,92.38043182,88.84721763,7.992314506,,,,,,,,
03-01-2002,93.2556,92.94584545,88.84721763,0.095947879,,,,,,,,
04-01-2002,85.795,93.00779636,88.84721763,52.02443138,,,,,,,,
05-01-2002,85.2351,91.56523709,88.84721763,40.07063559,,,,,,,,
06-01-2002,93.1896,90.29920967,88.84721763,8.354356245,,,,,,,,
07-01-2002,102.393,90.87728774,88.84721763,132.6116289,,,,,,,,
08-01-2002,101.6293,93.18043019,88.84721763,71.38340106,,,,,,,,
09-01-2002,93.3089,94.87020415,88.84721763,2.437670656,,,,,,,,
10-01-2002,86.9002,94.55794332,88.84721763,58.64103278,,,,,,,,
11-01-2002,88.5749,93.02639466,88.84721763,19.81580469,,,,,,,,
12-01-2002,100.8003,92.13609573,88.84721763,75.0684357,,,,,,,,
01-01-2003,110.1807,93.86893658,88.84721763,266.0736258,,,,,,,,
02-01-2003,103.8413,97.13128926,88.84721763,45.02424407,,,,,,,,
03-01-2003,94.5532,98.47329141,88.84721763,15.36711668,,,,,,,,
04-01-2003,85.062,97.68927313,88.84721763,159.4480267,,,,,,,,
05-01-2003,85.4653,95.1638185,88.84721763,94.06126116,,,,,,,,
06-01-2003,91.0761,93.2241148,88.84721763,4.613967593,,,,,,,,
07-01-2003,102.22,92.79451184,88.84721763,88.83982701,,,,,,,,
08-01-2003,104.4682,94.67960947,88.84721763,95.81650449,,,,,,,,
09-01-2003,92.9135,96.63732758,88.84721763,13.86689184,,,,,,,,
10-01-2003,86.5047,95.89256206,88.84721763,88.13195412,,,,,,,,
11-01-2003,88.5735,94.01498965,88.84721763,29.60980962,,,,,,,,
12-01-2003,103.5428,92.92669172,88.84721763,112.701755,,,,,,,,
01-01-2004,113.7226,95.04991338,88.84721763,348.6692257,,,,,,,,
02-01-2004,106.159,98.7844507,88.84721763,54.38397736,,,,,,,,
03-01-2004,95.4029,100.2593606,88.84721763,23.58520918,,,,,,,,
04-01-2004,86.7233,99.28806845,88.84721763,157.8734062,,,,,,,,
05-01-2004,89.0302,96.77511476,88.84721763,59.98370462,,,,,,,,
06-01-2004,95.5045,95.22613181,88.84721763,0.077488851,,,,,,,,
07-01-2004,101.7948,95.28180545,88.84721763,42.41909806,,,,,,,,
08-01-2004,100.2025,96.58440436,88.84721763,13.09061608,,,,,,,,
09-01-2004,94.024,97.30802349,88.84721763,10.78481025,,,,,,,,
10-01-2004,87.5262,96.65121879,88.84721763,83.26596789,,,,,,,,
11-01-2004,89.6144,94.82621503,88.84721763,27.16301591,,,,,,,,
12-01-2004,105.7263,93.78385202,88.84721763,142.6220636,,,,,,,,
01-01-2005,111.1614,96.17234162,88.84721763,224.6718711,,,,,,,,
02-01-2005,101.7795,99.1701533,88.84721763,6.808690223,,,,,,,,
03-01-2005,98.9565,99.69202264,88.84721763,0.540993549,,,,,,,,
04-01-2005,86.4776,99.54491811,88.84721763,170.7548026,,,,,,,,
05-01-2005,87.2234,96.93145449,88.84721763,94.24632193,,,,,,,,
06-01-2005,99.5076,94.98984359,88.84721763,20.41012298,,,,,,,,
07-01-2005,108.3501,95.89339487,88.84721763,155.1695026,,,,,,,,
08-01-2005,109.4862,98.3847359,88.84721763,123.2425052,,,,,,,,
09-01-2005,99.1155,100.6050287,88.84721763,2.218695802,,,,,,,,
10-01-2005,89.7567,100.307123,88.84721763,111.3114249,,,,,,,,
11-01-2005,90.4587,98.19703838,88.84721763,59.88188088,,,,,,,,
12-01-2005,108.2257,96.6493707,88.84721763,134.0114,,,,,,,,
01-01-2006,104.4724,98.96463656,88.84721763,30.33545808,,,,,,,,
02-01-2006,101.5196,100.0661893,88.84721763,2.112402807,,,,,,,,
03-01-2006,98.4017,100.3568714,88.84721763,3.822695204,,,,,,,,
04-01-2006,87.5093,99.96583712,88.84721763,155.165317,,,,,,,,
05-01-2006,90.0222,97.4745297,88.84721763,55.5372179,,,,,,,,
06-01-2006,100.5244,95.98406376,88.84721763,20.6146532,,,,,,,,
07-01-2006,110.9503,96.89213101,88.84721763,197.6321155,,,,,,,,
08-01-2006,111.5192,99.7037648,88.84721763,139.6045089,,,,,,,,
09-01-2006,95.7632,102.0668518,88.84721763,39.73602656,,,,,,,,
10-01-2006,90.3738,100.8061215,88.84721763,108.8333314,,,,,,,,
11-01-2006,92.3566,98.71965718,88.84721763,40.48849667,,,,,,,,
12-01-2006,103.066,97.44704574,88.84721763,31.57264693,,,,,,,,
01-01-2007,112.0576,98.5708366,88.84721763,181.8927871,,,,,,,,
02-01-2007,111.8399,101.2681893,88.84721763,111.7610676,,,,,,,,
03-01-2007,99.1925,103.3825314,88.84721763,17.55636331,,,,,,,,
04-01-2007,90.8177,102.5445251,88.84721763,137.5184278,,,,,,,,
05-01-2007,92.0587,100.1991601,88.84721763,66.26709079,,,,,,,,
06-01-2007,100.9676,98.57106809,88.84721763,5.743365208,,,,,,,,
07-01-2007,107.5686,99.05037447,88.84721763,72.56016618,,,,,,,,
08-01-2007,114.1036,100.7540196,88.84721763,178.2112975,,,,,,,,
09-01-2007,101.5316,103.4239357,88.84721763,3.580934253,,,,,,,,
10-01-2007,93.0068,103.0454685,88.84721763,100.7748658,,,,,,,,
11-01-2007,93.9126,101.0377348,88.84721763,50.76754624,,,,,,,,
12-01-2007,106.7528,99.61270786,88.84721763,50.98091579,,,,,,,,
01-01-2008,114.8331,101.0407263,88.84721763,190.2295726,,,,,,,,
02-01-2008,108.2353,103.799201,88.84721763,19.67897408,,,,,,,,
03-01-2008,100.4386,104.6864208,88.84721763,18.04398175,,,,,,,,
04-01-2008,90.9944,103.8368567,88.84721763,164.928693,,,,,,,,
05-01-2008,91.2348,101.2683653,88.84721763,100.6724332,,,,,,,,
06-01-2008,103.9581,99.26165226,88.84721763,22.05662136,,,,,,,,
07-01-2008,110.7631,100.2009418,88.84721763,111.5591856,,,,,,,,
08-01-2008,107.5665,102.3133734,88.84721763,27.59533858,,,,,,,,
09-01-2008,97.7183,103.3639988,88.84721763,31.87391447,,,,,,,,
10-01-2008,90.9979,102.234859,88.84721763,126.2692477,,,,,,,,
11-01-2008,93.8057,99.98746721,88.84721763,38.21424578,,,,,,,,
12-01-2008,109.4221,98.75111376,88.84721763,113.8699472,,,,,,,,
01-01-2009,116.8316,100.885311,88.84721763,254.2841325,,,,,,,,
02-01-2009,104.4202,104.0745688,88.84721763,0.11946092,,,,,,,,
03-01-2009,97.8529,104.143695,88.84721763,39.57410233,,,,,,,,
04-01-2009,88.1973,102.885536,88.84721763,215.7442779,,,,,,,,
05-01-2009,87.5366,99.94788883,88.84721763,154.0400904,,,,,,,,
06-01-2009,97.2387,97.46563106,88.84721763,0.051497708,,,,,,,,
07-01-2009,103.9086,97.42024485,88.84721763,42.09875254,,,,,,,,
08-01-2009,105.7486,98.71791588,88.84721763,49.43051918,,,,,,,,
09-01-2009,94.8823,100.1240527,88.84721763,27.47597142,,,,,,,,
10-01-2009,89.2977,99.07570216,88.84721763,95.60932632,,,,,,,,
11-01-2009,89.3585,97.12010173,88.84721763,60.24246143,,,,,,,,
12-01-2009,110.6844,95.56778138,88.84721763,228.5121584,,,,,,,,
01-01-2010,119.0166,98.59110511,88.84721763,417.2008416,,,,,,,,
02-01-2010,110.533,102.6762041,88.84721763,61.72924203,,,,,,,,
03-01-2010,98.2672,104.2475633,88.84721763,35.76474483,,,,,,,,
04-01-2010,86.3,103.0514906,88.84721763,280.6124378,,,,,,,,
05-01-2010,90.8364,99.70119249,88.84721763,78.58454593,,,,,,,,
06-01-2010,104.3538,97.92823399,88.84721763,41.2878985,,,,,,,,
07-01-2010,112.8066,99.2133472,88.84721763,184.7765218,,,,,,,,
08-01-2010,112.9014,101.9319978,88.84721763,120.3277856,,,,,,,,
09-01-2010,100.1209,104.1258782,88.84721763,16.03985042,,,,,,,,
10-01-2010,88.9251,103.3248826,88.84721763,207.3537379,,,,,,,,
11-01-2010,92.775,100.4449261,88.84721763,58.82776563,,,,,,,,
12-01-2010,114.3266,98.91094084,88.84721763,237.6425473,,,,,,,,
